file,external_id,category,source,label,location,province,precision,match,old_lat,old_lon,new_lat,new_lon,changed
territorial_layers.csv,VECTORNET-IT-2026-AEDES-KOREICUS-BRESCIA,vectors,VECTORNET_CURATED,Aedes koreicus,Brescia,Brescia,comunale,municipality_region,45.5416,10.2118,45.779580,10.425873,true
territorial_layers.csv,VECTORNET-IT-2026-AEDES-KOREICUS-GENOVA,vectors,VECTORNET_CURATED,Aedes koreicus,Genova,Genova,comunale,municipality_region,44.4048,8.9444,44.407260,8.933862,true
territorial_layers.csv,VECTORNET-IT-2026-AEDES-KOREICUS-VERONA,vectors,VECTORNET_CURATED,Aedes koreicus,Verona,Verona,comunale,municipality_region,45.4384,10.9916,45.438496,10.992412,true
territorial_layers.csv,VECTORNET-IT-2026-AEDES-KOREICUS-PADOVA,vectors,VECTORNET_CURATED,Aedes koreicus,Padova,Padova,comunale,municipality_region,45.4064,11.8768,45.407717,11.873446,true
territorial_layers.csv,VECTORNET-IT-2026-AEDES-KOREICUS-PAVIA,vectors,VECTORNET_CURATED,Aedes koreicus,Pavia,Pavia,comunale,municipality_region,45.1847,9.1582,45.036855,9.137825,true
territorial_layers.csv,VECTORNET-IT-2026-AEDES-KOREICUS-BOLOGNA,vectors,VECTORNET_CURATED,Aedes koreicus,Bologna,Bologna,comunale,municipality_region,44.4949,11.3426,44.493758,11.343031,true
territorial_layers.csv,VECTORNET-CURATED-2026-IXODES-RICINUS-TORINO,vectors,VECTORNET_CURATED,Ixodes ricinus,Torino,Torino,comunale,municipality_region,45.0703,7.6869,45.067755,7.682489,true
territorial_layers.csv,VECTORNET-CURATED-2026-IXODES-RICINUS-CUNEO,vectors,VECTORNET_CURATED,Ixodes ricinus,Cuneo,Cuneo,comunale,municipality_region,44.3845,7.5427,44.458070,7.558137,true
territorial_layers.csv,VECTORNET-CURATED-2026-IXODES-RICINUS-MILANO,vectors,VECTORNET_CURATED,Ixodes ricinus,Milano,Milano,comunale,municipality_region,45.4642,9.1900,45.466800,9.190500,true
territorial_layers.csv,VECTORNET-CURATED-2026-IXODES-RICINUS-PAVIA,vectors,VECTORNET_CURATED,Ixodes ricinus,Pavia,Pavia,comunale,municipality_region,45.1847,9.1582,45.036855,9.137825,true
territorial_layers.csv,VECTORNET-CURATED-2026-IXODES-RICINUS-BRESCIA,vectors,VECTORNET_CURATED,Ixodes ricinus,Brescia,Brescia,comunale,municipality_region,45.5416,10.2118,45.779580,10.425873,true
territorial_layers.csv,VECTORNET-CURATED-2026-IXODES-RICINUS-GENOVA,vectors,VECTORNET_CURATED,Ixodes ricinus,Genova,Genova,comunale,municipality_region,44.4048,8.9444,44.407260,8.933862,true
territorial_layers.csv,VECTORNET-CURATED-2026-IXODES-RICINUS-VERONA,vectors,VECTORNET_CURATED,Ixodes ricinus,Verona,Verona,comunale,municipality_region,45.4384,10.9916,45.438496,10.992412,true
territorial_layers.csv,VECTORNET-CURATED-2026-IXODES-RICINUS-PADOVA,vectors,VECTORNET_CURATED,Ixodes ricinus,Padova,Padova,comunale,municipality_region,45.4064,11.8768,45.407717,11.873446,true
territorial_layers.csv,VECTORNET-CURATED-2026-IXODES-RICINUS-BOLOGNA,vectors,VECTORNET_CURATED,Ixodes ricinus,Bologna,Bologna,comunale,municipality_region,44.4949,11.3426,44.493758,11.343031,true
territorial_layers.csv,VECTORNET-CURATED-2026-IXODES-RICINUS-PARMA,vectors,VECTORNET_CURATED,Ixodes ricinus,Parma,Parma,comunale,municipality_region,44.8015,10.3279,44.801368,10.328083,true
territorial_layers.csv,VECTORNET-CURATED-2026-IXODES-RICINUS-FIRENZE,vectors,VECTORNET_CURATED,Ixodes ricinus,Firenze,Firenze,comunale,municipality_region,43.7696,11.2558,43.769871,11.255576,true
territorial_layers.csv,VECTORNET-CURATED-2026-RHIPICEPHALUS-SANGUINEUS-TORINO,vectors,VECTORNET_CURATED,Rhipicephalus sanguineus,Torino,Torino,comunale,municipality_region,45.0703,7.6869,45.067755,7.682489,true
territorial_layers.csv,VECTORNET-CURATED-2026-RHIPICEPHALUS-SANGUINEUS-CUNEO,vectors,VECTORNET_CURATED,Rhipicephalus sanguineus,Cuneo,Cuneo,comunale,municipality_region,44.3845,7.5427,44.458070,7.558137,true
territorial_layers.csv,VECTORNET-CURATED-2026-RHIPICEPHALUS-SANGUINEUS-MILANO,vectors,VECTORNET_CURATED,Rhipicephalus sanguineus,Milano,Milano,comunale,municipality_region,45.4642,9.1900,45.466800,9.190500,true
territorial_layers.csv,VECTORNET-CURATED-2026-RHIPICEPHALUS-SANGUINEUS-PAVIA,vectors,VECTORNET_CURATED,Rhipicephalus sanguineus,Pavia,Pavia,comunale,municipality_region,45.1847,9.1582,45.036855,9.137825,true
territorial_layers.csv,VECTORNET-CURATED-2026-RHIPICEPHALUS-SANGUINEUS-BRESCIA,vectors,VECTORNET_CURATED,Rhipicephalus sanguineus,Brescia,Brescia,comunale,municipality_region,45.5416,10.2118,45.779580,10.425873,true
territorial_layers.csv,VECTORNET-CURATED-2026-RHIPICEPHALUS-SANGUINEUS-GENOVA,vectors,VECTORNET_CURATED,Rhipicephalus sanguineus,Genova,Genova,comunale,municipality_region,44.4048,8.9444,44.407260,8.933862,true
territorial_layers.csv,VECTORNET-CURATED-2026-RHIPICEPHALUS-SANGUINEUS-VERONA,vectors,VECTORNET_CURATED,Rhipicephalus sanguineus,Verona,Verona,comunale,municipality_region,45.4384,10.9916,45.438496,10.992412,true
territorial_layers.csv,VECTORNET-CURATED-2026-RHIPICEPHALUS-SANGUINEUS-PADOVA,vectors,VECTORNET_CURATED,Rhipicephalus sanguineus,Padova,Padova,comunale,municipality_region,45.4064,11.8768,45.407717,11.873446,true
territorial_layers.csv,VECTORNET-CURATED-2026-RHIPICEPHALUS-SANGUINEUS-BOLOGNA,vectors,VECTORNET_CURATED,Rhipicephalus sanguineus,Bologna,Bologna,comunale,municipality_region,44.4949,11.3426,44.493758,11.343031,true
territorial_layers.csv,VECTORNET-CURATED-2026-RHIPICEPHALUS-SANGUINEUS-PARMA,vectors,VECTORNET_CURATED,Rhipicephalus sanguineus,Parma,Parma,comunale,municipality_region,44.8015,10.3279,44.801368,10.328083,true
territorial_layers.csv,VECTORNET-CURATED-2026-RHIPICEPHALUS-SANGUINEUS-FIRENZE,vectors,VECTORNET_CURATED,Rhipicephalus sanguineus,Firenze,Firenze,comunale,municipality_region,43.7696,11.2558,43.769871,11.255576,true
territorial_layers.csv,VECTORNET-CURATED-2026-RHIPICEPHALUS-SANGUINEUS-GROSSETO,vectors,VECTORNET_CURATED,Rhipicephalus sanguineus,Grosseto,Grosseto,comunale,municipality_region,42.7635,11.1124,42.775110,11.287804,true
territorial_layers.csv,VECTORNET-CURATED-2026-RHIPICEPHALUS-SANGUINEUS-ROMA,vectors,VECTORNET_CURATED,Rhipicephalus sanguineus,Roma,Roma,comunale,municipality_region,41.9028,12.4964,41.893320,12.482932,true
territorial_layers.csv,VECTORNET-CURATED-2026-RHIPICEPHALUS-SANGUINEUS-NAPOLI,vectors,VECTORNET_CURATED,Rhipicephalus sanguineus,Napoli,Napoli,comunale,municipality_region,40.8518,14.2681,40.835934,14.248783,true
territorial_layers.csv,VECTORNET-CURATED-2026-RHIPICEPHALUS-SANGUINEUS-CASERTA,vectors,VECTORNET_CURATED,Rhipicephalus sanguineus,Caserta,Caserta,comunale,municipality_region,41.0747,14.3324,41.203483,14.117058,true
territorial_layers.csv,VECTORNET-CURATED-2026-RHIPICEPHALUS-SANGUINEUS-BARI,vectors,VECTORNET_CURATED,Rhipicephalus sanguineus,Bari,Bari,comunale,municipality_region,41.1171,16.8719,41.125784,16.862029,true
territorial_layers.csv,VECTORNET-CURATED-2026-RHIPICEPHALUS-SANGUINEUS-PALERMO,vectors,VECTORNET_CURATED,Rhipicephalus sanguineus,Palermo,Palermo,comunale,municipality_region,38.1157,13.3615,38.111227,13.352443,true
territorial_layers.csv,VECTORNET-CURATED-2026-RHIPICEPHALUS-SANGUINEUS-CAGLIARI,vectors,VECTORNET_CURATED,Rhipicephalus sanguineus,Cagliari,Cagliari,comunale,municipality_region,39.2238,9.1217,39.216953,9.112851,true
territorial_layers.csv,VECTORNET-CURATED-2026-DERMACENTOR-RETICULATUS-TORINO,vectors,VECTORNET_CURATED,Dermacentor reticulatus,Torino,Torino,comunale,municipality_region,45.0703,7.6869,45.067755,7.682489,true
territorial_layers.csv,VECTORNET-CURATED-2026-DERMACENTOR-RETICULATUS-CUNEO,vectors,VECTORNET_CURATED,Dermacentor reticulatus,Cuneo,Cuneo,comunale,municipality_region,44.3845,7.5427,44.458070,7.558137,true
territorial_layers.csv,VECTORNET-CURATED-2026-DERMACENTOR-RETICULATUS-MILANO,vectors,VECTORNET_CURATED,Dermacentor reticulatus,Milano,Milano,comunale,municipality_region,45.4642,9.1900,45.466800,9.190500,true
territorial_layers.csv,VECTORNET-CURATED-2026-DERMACENTOR-RETICULATUS-PAVIA,vectors,VECTORNET_CURATED,Dermacentor reticulatus,Pavia,Pavia,comunale,municipality_region,45.1847,9.1582,45.036855,9.137825,true
territorial_layers.csv,VECTORNET-CURATED-2026-DERMACENTOR-RETICULATUS-BRESCIA,vectors,VECTORNET_CURATED,Dermacentor reticulatus,Brescia,Brescia,comunale,municipality_region,45.5416,10.2118,45.779580,10.425873,true
territorial_layers.csv,VECTORNET-CURATED-2026-DERMACENTOR-RETICULATUS-VERONA,vectors,VECTORNET_CURATED,Dermacentor reticulatus,Verona,Verona,comunale,municipality_region,45.4384,10.9916,45.438496,10.992412,true
territorial_layers.csv,VECTORNET-CURATED-2026-DERMACENTOR-RETICULATUS-PADOVA,vectors,VECTORNET_CURATED,Dermacentor reticulatus,Padova,Padova,comunale,municipality_region,45.4064,11.8768,45.407717,11.873446,true
