external_id,source,disease,category,data_type,evidence_count,period_start,period_end,country,region,province,location,lat,lon,radius_km,url_source,notes
WNV-2026-IT-GE-001,CNS_WNV,West Nile virus,west_nile,prevention_measure_area,1,2026-07-02,2026-07-16,Italy,Liguria,Genova,Provincia di Genova,44.407260,8.933862,50,https://www.centronazionalesangue.it/west-nile-virus-2026/,"CNS WNV prevention measure area; province-level centroid/capital used for map display; territorial geocoding correction v247: snapped to Genova (Genova); previous coordinates 44.4056,8.9463; match=province_centroid."
WNV-2026-IT-PD-001,CNS_WNV,West Nile virus,west_nile,prevention_measure_area,1,2026-07-03,2026-07-16,Italy,Veneto,Padova,Provincia di Padova,45.407717,11.873446,50,https://www.centronazionalesangue.it/west-nile-virus-2026/,"CNS WNV prevention measure area; province-level centroid/capital used for map display; territorial geocoding correction v247: snapped to Padova (Padova); previous coordinates 45.4064,11.8768; match=province_centroid."
WNV-2026-IT-VE-001,AVIS_CNS_WNV,West Nile virus,west_nile,prevention_measure_area,1,2026-07-09,2026-07-16,Italy,Veneto,Venezia,Provincia di Venezia,45.437191,12.334590,50,https://www.avis.it/west-nile-virus-le-misure-di-prevenzione-per-il-2026/,"AVIS/CNS WNV prevention measure area; province-level centroid/capital used for map display; territorial geocoding correction v247: snapped to Venezia (Venezia); previous coordinates 45.4408,12.3155; match=province_centroid."
WNV-2026-IT-VI-001,AVIS_CNS_WNV,West Nile virus,west_nile,prevention_measure_area,1,2026-07-09,2026-07-16,Italy,Veneto,Vicenza,Provincia di Vicenza,45.634859,11.406354,50,https://www.avis.it/west-nile-virus-le-misure-di-prevenzione-per-il-2026/,"AVIS/CNS WNV prevention measure area; province-level centroid/capital used for map display; territorial geocoding correction v247: snapped to Vicenza (Vicenza); previous coordinates 45.5455,11.5354; match=province_centroid."
WNV-2026-IT-MI-001,AVIS_CNS_WNV,West Nile virus,west_nile,prevention_measure_area,1,2026-07-08,2026-07-16,Italy,Lombardia,Milano,Provincia di Milano,45.466800,9.190500,50,https://www.avis.it/west-nile-virus-le-misure-di-prevenzione-per-il-2026/,"AVIS/CNS WNV prevention measure area; province-level centroid/capital used for map display; territorial geocoding correction v247: snapped to Milano (Milano); previous coordinates 45.4642,9.19; match=province_centroid."
WNV-2026-IT-LO-001,AVIS_CNS_WNV,West Nile virus,west_nile,prevention_measure_area,1,2026-07-08,2026-07-16,Italy,Lombardia,Lodi,Provincia di Lodi,45.261310,9.491678,50,https://www.avis.it/west-nile-virus-le-misure-di-prevenzione-per-il-2026/,"AVIS/CNS WNV prevention measure area; province-level centroid/capital used for map display; territorial geocoding correction v247: snapped to Lodi (Lodi); previous coordinates 45.3136,9.5035; match=province_centroid."
WNV-2026-IT-MB-001,AVIS_CNS_WNV,West Nile virus,west_nile,prevention_measure_area,1,2026-07-08,2026-07-16,Italy,Lombardia,Monza-Brianza,Provincia di Monza e Brianza,45.5845,9.2744,50,https://www.avis.it/west-nile-virus-le-misure-di-prevenzione-per-il-2026/,AVIS/CNS WNV prevention measure area; province-level centroid/capital used for map display
WNV-2026-IT-MO-001,AVIS_CNS_WNV,West Nile virus,west_nile,prevention_measure_area,1,2026-07-06,2026-07-16,Italy,Emilia-Romagna,Modena,Provincia di Modena,44.538473,10.935961,50,https://www.avis.it/west-nile-virus-le-misure-di-prevenzione-per-il-2026/,"AVIS/CNS WNV prevention measure area; province-level centroid/capital used for map display; territorial geocoding correction v247: snapped to Modena (Modena); previous coordinates 44.6471,10.9252; match=province_centroid."
WNV-2026-IT-PR-001,AVIS_CNS_WNV,West Nile virus,west_nile,prevention_measure_area,1,2026-07-06,2026-07-16,Italy,Emilia-Romagna,Parma,Provincia di Parma,44.801368,10.328083,50,https://www.avis.it/west-nile-virus-le-misure-di-prevenzione-per-il-2026/,"AVIS/CNS WNV prevention measure area; province-level centroid/capital used for map display; territorial geocoding correction v247: snapped to Parma (Parma); previous coordinates 44.8015,10.3279; match=province_centroid."
WNV-2026-IT-RE-001,AVIS_CNS_WNV,West Nile virus,west_nile,prevention_measure_area,1,2026-07-03,2026-07-16,Italy,Emilia-Romagna,Reggio Emilia,Provincia di Reggio Emilia,44.6983,10.63,50,https://www.avis.it/west-nile-virus-le-misure-di-prevenzione-per-il-2026/,AVIS/CNS WNV prevention measure area; province-level centroid/capital used for map display
WNV-2026-IT-PC-001,AVIS_CNS_WNV,West Nile virus,west_nile,prevention_measure_area,1,2026-07-03,2026-07-16,Italy,Emilia-Romagna,Piacenza,Provincia di Piacenza,44.847635,9.666531,50,https://www.avis.it/west-nile-virus-le-misure-di-prevenzione-per-il-2026/,"AVIS/CNS WNV prevention measure area; province-level centroid/capital used for map display; territorial geocoding correction v247: snapped to Piacenza (Piacenza); previous coordinates 45.0526,9.6937; match=province_centroid."
WNV-2026-IT-CR-001,AVIS_CNS_WNV,West Nile virus,west_nile,prevention_measure_area,1,2026-07-03,2026-07-16,Italy,Lombardia,Cremona,Provincia di Cremona,45.220864,10.037038,50,https://www.avis.it/west-nile-virus-le-misure-di-prevenzione-per-il-2026/,"AVIS/CNS WNV prevention measure area; province-level centroid/capital used for map display; territorial geocoding correction v247: snapped to Cremona (Cremona); previous coordinates 45.1332,10.0227; match=province_centroid."
