source_file,benv_id,raw_comune,raw_provincia,raw_regione,matched_level,matched_label,lat,lon,note
peste_suina_africana_2026_italia.xlsx,85567,MEDESANO,PR,EMILIA ROMAGNA,province,MEDESANO,44.80150,10.32790,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,84367,CERANESI,GE,LIGURIA,province,CERANESI,44.40560,8.94630,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,84608,ZOAGLI,GE,LIGURIA,province,ZOAGLI,44.40560,8.94630,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,84712,RAPALLO,GE,LIGURIA,province,RAPALLO,44.40560,8.94630,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,83211,SERRA RICCO\',GE,LIGURIA,province,SERRA RICCO\',44.40560,8.94630,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,83106,SASSELLO,SV,LIGURIA,province,SASSELLO,44.30910,8.47720,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,83107,SASSELLO,SV,LIGURIA,province,SASSELLO,44.30910,8.47720,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,83119,RAPALLO,GE,LIGURIA,province,RAPALLO,44.40560,8.94630,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,82750,DEIVA MARINA,SP,LIGURIA,province,DEIVA MARINA,44.10250,9.82410,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,83959,DEGO,SV,LIGURIA,province,DEGO,44.30910,8.47720,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85096,MONCHIO DELLE CORTI,PR,EMILIA ROMAGNA,province,MONCHIO DELLE CORTI,44.80150,10.32790,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85129,VENTASSO,RE,EMILIA ROMAGNA,province,VENTASSO,44.69890,10.62970,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85132,FOSDINOVO,MS,TOSCANA,province,FOSDINOVO,44.03540,10.13970,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,84878,PODENZANA,MS,TOSCANA,province,PODENZANA,44.03540,10.13970,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85154,FIVIZZANO,MS,TOSCANA,province,FIVIZZANO,44.03540,10.13970,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85231,BARGA,LU,TOSCANA,province,BARGA,43.84290,10.50270,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85250,ARGUELLO,CN,PIEMONTE,province,ARGUELLO,44.38450,7.54270,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85263,FIVIZZANO,MS,TOSCANA,province,FIVIZZANO,44.03540,10.13970,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85521,PALANZANO,PR,EMILIA ROMAGNA,province,PALANZANO,44.80150,10.32790,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,84483,GENOVA,GE,LIGURIA,province,GENOVA,44.40560,8.94630,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,83082,SERRA RICCO\',GE,LIGURIA,province,SERRA RICCO\',44.40560,8.94630,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,82721,SASSELLO,SV,LIGURIA,province,SASSELLO,44.30910,8.47720,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,82752,ROCCHETTA DI VARA,SP,LIGURIA,province,ROCCHETTA DI VARA,44.10250,9.82410,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,84043,RAPALLO,GE,LIGURIA,province,RAPALLO,44.40560,8.94630,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85005,FELINO,PR,EMILIA ROMAGNA,province,FELINO,44.80150,10.32790,municipality centroid unavailable; coordinates set to province capital for map display
